schoolid,teacherid,collegeid,guanxi
5001,427,4002,所属
5001,428,4002,所属
5001,429,4002,所属
5001,430,4002,所属
5001,431,4002,所属
5001,432,4002,所属
5001,433,4002,所属
5001,434,4002,所属
5001,435,4002,所属
5001,436,4002,所属
5001,437,4002,所属
5001,438,4006,所属
5001,439,4010,所属
5001,440,4010,所属
5001,441,4006,所属
5001,442,4010,所属
5001,443,4010,所属
5001,444,4006,所属
5001,445,4010,所属
5001,446,4006,所属
5001,447,4010,所属
5001,448,4007,所属
5001,449,4006,所属
5001,450,4010,所属
5001,451,4003,所属
5001,452,4006,所属
5001,453,4001,所属
5001,454,4010,所属
5001,455,4010,所属
5001,456,4004,所属
5001,457,4004,所属
5001,458,4004,所属
5001,459,4004,所属
5001,460,4004,所属
5001,461,4004,所属
5001,462,4004,所属
5001,463,4006,所属
5001,464,4004,所属
5001,465,4004,所属
5001,466,4004,所属
5001,467,4004,所属
5001,468,4004,所属
5001,469,4004,所属
5001,470,4004,所属
5001,471,4004,所属
5001,472,4004,所属
5001,473,4004,所属
5001,474,4004,所属
5001,475,4004,所属
5001,476,4004,所属
5001,477,4004,所属
5001,478,4004,所属
5001,479,4004,所属
5001,480,4004,所属
5001,481,4004,所属
5001,482,4004,所属
5001,483,4004,所属
5001,484,4004,所属
5001,485,4004,所属
5001,486,4004,所属
5001,487,4006,所属
5001,488,4004,所属
5001,489,4004,所属
5001,490,4004,所属
5001,491,4004,所属
5001,492,4004,所属
5001,493,4004,所属
5001,494,4004,所属
5001,495,4007,所属
5001,496,4007,所属
5001,497,4007,所属
5001,498,4007,所属
5001,499,4007,所属
5001,500,4007,所属
5001,501,4007,所属
5001,502,4007,所属
5001,503,4007,所属
5001,504,4007,所属
5001,505,4007,所属
5001,506,4007,所属
5001,507,4007,所属
5001,508,4007,所属
5001,509,4007,所属
5001,510,4007,所属
5001,511,4007,所属
5001,512,4007,所属
5001,513,4007,所属
5001,514,4007,所属
5001,515,4007,所属
5001,516,4007,所属
5001,517,4007,所属
5001,518,4007,所属
5001,519,4007,所属
5001,520,4007,所属
5001,521,4007,所属
5001,522,4007,所属
5001,523,4007,所属
